epoch,train_loss,train_heatmap_loss,train_presence_loss,val_loss,val_heatmap_loss,val_presence_loss,test_loss,test_heatmap_loss,test_presence_loss,test_presence_combined_loss
1,3.6088922023773193,3.6088922023773193,0.0,,,,,,,
2,0.06976202130317688,0.06976202130317688,0.0,0.05032512545585632,0.05032512545585632,0.0,0.051030927896499635,0.051030927896499635,0.0,0.7383680820465088
3,0.01182429026812315,0.01182429026812315,0.0,,,,,,,
4,0.0032890180591493845,0.0032890180591493845,0.0,0.001626097783446312,0.001626097783446312,0.0,0.001560716424137354,0.001560716424137354,0.0,1.4717254638671875
5,0.001089173834770918,0.001089173834770918,0.0,,,,,,,
6,0.000708362553268671,0.000708362553268671,0.0,0.0008029830642044544,0.0008029830642044544,0.0,0.0007163836620748043,0.0007163836620748043,0.0,1.491549015045166
7,0.0006187140825204551,0.0006187140825204551,0.0,,,,,,,
8,0.0005892763729207218,0.0005892763729207218,0.0,0.0007287080399692059,0.0007287080399692059,0.0,0.0006413443945348263,0.0006413443945348263,0.0,1.5100201606750487
9,0.0005786375841125846,0.0005786375841125846,0.0,,,,,,,
10,0.0005717195454053581,0.0005717195454053581,0.0,0.0007052581291645766,0.0007052581291645766,0.0,0.0006163262762129307,0.0006163262762129307,0.0,1.5173505783081054
11,0.0005704609793610871,0.0005704609793610871,0.0,,,,,,,
12,0.0005674718413501978,0.0005674718413501978,0.0,0.0007015492767095566,0.0007015492767095566,0.0,0.0006125952117145061,0.0006125952117145061,0.0,1.5266616821289063
13,0.0005651987157762051,0.0005651987157762051,0.0,,,,,,,
14,0.0005639722803607583,0.0005639722803607583,0.0,0.0006989863235503435,0.0006989863235503435,0.0,0.0006100405938923359,0.0006100405938923359,0.0,1.5354379653930663
15,0.0005638583679683506,0.0005638583679683506,0.0,,,,,,,
16,0.0005623582983389497,0.0005623582983389497,0.0,0.0006971681490540504,0.0006971681490540504,0.0,0.0006082264706492424,0.0006082264706492424,0.0,1.5431989669799804
17,0.0005613074172288179,0.0005613074172288179,0.0,,,,,,,
18,0.0005608517094515264,0.0005608517094515264,0.0,0.0006955849006772041,0.0006955849006772041,0.0,0.0006066908594220876,0.0006066908594220876,0.0,1.5510704040527343
19,0.0005599066498689353,0.0005599066498689353,0.0,,,,,,,
20,0.0005604217294603586,0.0005604217294603586,0.0,0.0006945443339645863,0.0006945443339645863,0.0,0.0006056009791791439,0.0006056009791791439,0.0,1.5581830978393554
21,0.0005586037877947092,0.0005586037877947092,0.0,,,,,,,
22,0.0005579978460446,0.0005579978460446,0.0,0.0006935201585292816,0.0006935201585292816,0.0,0.0006046060007065535,0.0006046060007065535,0.0,1.565599250793457
23,0.0005556250107474625,0.0005556250107474625,0.0,,,,,,,
24,0.0005572258960455656,0.0005572258960455656,0.0,0.0006927392911165953,0.0006927392911165953,0.0,0.0006037930026650429,0.0006037930026650429,0.0,1.5725773811340331
25,0.0005565612227655947,0.0005565612227655947,0.0,,,,,,,
26,0.0005573984235525131,0.0005573984235525131,0.0,0.0006919577717781067,0.0006919577717781067,0.0,0.0006030342541635036,0.0006030342541635036,0.0,1.5801097869873046
27,0.0005571155343204737,0.0005571155343204737,0.0,,,,,,,
28,0.0005546461325138807,0.0005546461325138807,0.0,0.0006913161370903254,0.0006913161370903254,0.0,0.0006023784168064594,0.0006023784168064594,0.0,1.5877190589904786
29,0.0005548889166675508,0.0005548889166675508,0.0,,,,,,,
30,0.0005562241422012448,0.0005562241422012448,0.0,0.0006907073315232992,0.0006907073315232992,0.0,0.0006017858162522316,0.0006017858162522316,0.0,1.5954387664794922
31,0.000554952654056251,0.000554952654056251,0.0,,,,,,,
32,0.0005554897943511605,0.0005554897943511605,0.0,0.0006902175955474377,0.0006902175955474377,0.0,0.0006012521218508482,0.0006012521218508482,0.0,1.602865219116211
33,0.0005535061936825514,0.0005535061936825514,0.0,,,,,,,
34,0.000555150443688035,0.000555150443688035,0.0,0.0006896792910993099,0.0006896792910993099,0.0,0.000600735004991293,0.000600735004991293,0.0,1.6115272521972657
35,0.0005542607977986336,0.0005542607977986336,0.0,,,,,,,
36,0.0005528069450519979,0.0005528069450519979,0.0,0.0006892826408147812,0.0006892826408147812,0.0,0.000600303616374731,0.000600303616374731,0.0,1.6193462371826173
37,0.000553750607650727,0.000553750607650727,0.0,,,,,,,
38,0.0005528120091184974,0.0005528120091184974,0.0,0.000688896793872118,0.000688896793872118,0.0,0.0005999101791530848,0.0005999101791530848,0.0,1.6273296356201172
39,0.0005527823232114315,0.0005527823232114315,0.0,,,,,,,
